# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.000000
# 
1.000000000000000000e+00,1.000000000000000000e+00,4.695965508032222679e-01,9.727711619088230677e-02,8.067401522921432422e-01,9.800800333087141825e-01,9.597720423179432192e-01,8.235538001051014856e-01,8.699250184636079242e-01,5.235533769723125230e-01,9.452279539830402699e-01
2.000000000000000000e+00,1.000000000000000000e+00,2.113498106752543793e-01,9.240100957053651864e-01,9.745403744545946267e-01,5.860313692912900718e-01,1.148268110036009260e-01,5.806956994235445979e-01,3.299032467563641768e-01,6.565424716678881500e-01,8.779015328270033391e-01
3.000000000000000000e+00,1.000000000000000000e+00,2.279050784992487921e-01,9.051941545445807424e-01,4.071241068432449595e-01,5.421281890565865513e-02,9.709011102628168910e-01,6.888950846806173312e-01,1.823225657107532260e-01,2.859194956363270146e-01,2.543168101700319372e-01
4.000000000000000000e+00,1.000000000000000000e+00,3.758272693497030081e-01,9.536712474004960249e-01,1.874910711516697415e-01,3.029416204768868859e-01,1.502556200971628675e-01,6.028509586123761421e-01,1.996344567748176146e-02,6.831351338903636217e-01,2.799762093301935151e-01
5.000000000000000000e+00,1.000000000000000000e+00,5.602262498420182979e-01,2.318988417451134376e-01,6.877865671417157101e-01,4.062880064908080957e-02,1.492641251253906676e-01,5.178384177013566347e-01,7.476889865304464644e-01,3.943252018050384944e-01,4.893818337886778336e-01
6.000000000000000000e+00,1.000000000000000000e+00,5.469226277382402968e-01,5.658816553301431185e-01,6.984640608320953348e-01,7.489612525470019655e-01,9.911132603123277152e-01,7.336001071453854827e-01,8.365104815238999514e-02,9.721372988758721911e-01,2.546426217991354379e-01
7.000000000000000000e+00,1.000000000000000000e+00,7.861906785094474603e-01,7.360491528049233345e-01,5.287615132385392602e-02,4.007257206423431306e-01,3.545974119540629133e-01,8.096659317929961741e-01,8.239264269754213998e-01,2.935055484159054817e-02,1.191402165211502551e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.615138081412354820e-01,9.313074748817936621e-01,5.697255135512940827e-01,7.099208871433781987e-01,1.347360048912336072e-01,3.033729263110976904e-01,4.732629922422656454e-01,7.267776470044309267e-01,4.554112331117803336e-01
9.000000000000000000e+00,1.000000000000000000e+00,1.099541921479642026e-01,6.644141677363326615e-01,8.476461777653471197e-01,7.377340126161965328e-01,3.754825333565509071e-01,6.334240446738451658e-01,7.977124890217712760e-01,8.493976671520498956e-01,4.642832150090120402e-01
1.000000000000000000e+01,1.000000000000000000e+00,2.735541568982238214e-01,8.950654894680563078e-01,9.378732714088949818e-01,9.364727345052320517e-01,5.825972721317568270e-01,9.106497658672012552e-01,6.233313857575829564e-01,6.797466509228021758e-01,3.283947463789238519e-02
1.100000000000000000e+01,1.000000000000000000e+00,5.013063959380148482e-01,3.847646938919380144e-02,5.731409726301089913e-01,5.709502151599120667e-01,3.897224134331371825e-01,4.105826194199513335e-01,3.067522513215363844e-01,9.437943853369401559e-01,7.478406596022197927e-01
1.200000000000000000e+01,1.000000000000000000e+00,6.265161402747199126e-01,2.786862797052922502e-01,5.336873774570742857e-01,2.317524860888510174e-01,7.148383371513414852e-01,3.276172289911259972e-01,1.747180184050479701e-01,2.116381305697377924e-01,5.011503913689787648e-01
1.300000000000000000e+01,1.000000000000000000e+00,6.270880618942832330e-01,8.270384673059917313e-01,7.254765775492745261e-01,5.439784739331406938e-01,3.891072654976692746e-01,3.496725928756864166e-01,6.174193112190572430e-01,3.056044836924051156e-01,6.155533836594565544e-01
1.400000000000000000e+01,1.000000000000000000e+00,2.118577183480622184e-01,5.462960850231679544e-02,8.700185253502368266e-01,6.167596715793149942e-01,5.294332238278333103e-01,8.214196090288145014e-01,4.712729841012260890e-01,7.254255674212463090e-01,9.938518066876698143e-01
1.500000000000000000e+01,1.000000000000000000e+00,8.722181192137409278e-01,3.769012463037308969e-01,2.470206072536699216e-01,7.233219079765550452e-01,4.804203013562426960e-01,9.038580848756071484e-01,2.872260635527599248e-01,9.065186690265528702e-01,2.070947928102818691e-01
1.600000000000000000e+01,1.000000000000000000e+00,2.145848520637607670e-01,2.425084299678877953e-01,6.718290891349576466e-02,6.540500154838074787e-01,6.606347154246388076e-01,3.841726029575456280e-01,6.388626977171317778e-01,5.977291775341605495e-01,5.457574260742616978e-01
1.700000000000000000e+01,1.000000000000000000e+00,7.280467860351202969e-01,3.238089192219364421e-01,7.064200321050960740e-01,2.120095426236059399e-01,7.702880384060943886e-01,2.128369092339799096e-02,6.637075799552968336e-01,7.968700234699633844e-01,3.162890208324752317e-01
1.800000000000000000e+01,1.000000000000000000e+00,3.350872987063683306e-01,2.353604327866221091e-01,3.264376520829862516e-01,5.737178684597542544e-01,1.092335626272196158e-01,2.085296167020382896e-01,2.249579138039511372e-01,4.052646127062562442e-01,6.034012663834641410e-01
1.900000000000000000e+01,1.000000000000000000e+00,6.840676814250635784e-01,7.468543201455821734e-01,8.952143280704337736e-01,7.821614307233646368e-01,5.218540676974925407e-01,9.809950677325574020e-02,5.176595635617685653e-01,6.662601440571094269e-01,5.054588732328738621e-01
2.000000000000000000e+01,1.000000000000000000e+00,1.756062983886825801e-01,8.903958436259059583e-01,2.772599488680149715e-01,5.282549038906708683e-01,7.905916982821284966e-01,6.686739800534877709e-01,8.425687553480759595e-01,6.278412698206803366e-02,4.276222102100090128e-01
2.100000000000000000e+01,1.000000000000000000e+00,4.575648487976728962e-01,6.449032728034327366e-01,6.070268368780439294e-01,7.514761782285528380e-02,2.159513140169638801e-01,4.802505207368046314e-02,5.862488504967759972e-01,5.650889098659488408e-01,2.157051944799648346e-03
2.200000000000000000e+01,1.000000000000000000e+00,2.366617558777882602e-01,8.631131784496087755e-01,3.172570602131877804e-01,6.175487789193977450e-01,9.257853783812908244e-01,6.973013502539308073e-01,6.980193922743094248e-01,4.748057966901308991e-02,8.770611897849646121e-01
2.300000000000000000e+01,1.000000000000000000e+00,8.860354016556932777e-01,5.462310457839194555e-01,6.105841488059133848e-01,9.654357667382094110e-01,9.107580660221639146e-01,5.797765161172310222e-01,6.838166166306197669e-01,3.860142486717016430e-01,7.313265451136861106e-01
2.400000000000000000e+01,1.000000000000000000e+00,8.180804430460512089e-01,5.338891559869709535e-01,8.777680837048066342e-01,2.496397726125456629e-01,1.168323193194568121e-01,1.636722297183476060e-01,5.668822899429458717e-01,6.139790965959324165e-02,4.710698113812600285e-01
2.500000000000000000e+01,1.000000000000000000e+00,7.040378018259436654e-01,8.823355388875941951e-02,5.336004863333776438e-02,6.817593064180961226e-01,7.756834374891595774e-01,6.085586298208868206e-01,9.867342542704594655e-01,6.010578657829139804e-01,8.610532353557528440e-01
2.600000000000000000e+01,1.000000000000000000e+00,9.773191449726393865e-01,6.364124931472422420e-01,4.029775680281072470e-01,1.576670442828030927e-01,2.062411606640663919e-01,6.529941589321842654e-01,9.849054733295952158e-01,3.986384604714064972e-01,5.626842292875748885e-01
2.700000000000000000e+01,1.000000000000000000e+00,5.461069579997227530e-01,6.938090312602104293e-01,8.159813679053873336e-02,9.372173429093080266e-01,9.164671048816701582e-01,1.598934110443511747e-01,5.880214461478655563e-01,8.259278505549058069e-01,2.537881915021878987e-01
2.800000000000000000e+01,1.000000000000000000e+00,4.215970966380516716e-01,2.876084816128803290e-01,4.675881726239911051e-01,8.212861321117441715e-01,9.813043842187826327e-01,1.114827089652771219e-01,8.525654331458619728e-01,3.784498907786164601e-01,3.335570733499756413e-01
2.900000000000000000e+01,1.000000000000000000e+00,3.113416304551666070e-01,1.147866585770652703e-01,4.235204708487855241e-01,2.109628588072949285e-01,3.566344766919414822e-01,4.891664908625472652e-01,8.635472061891994455e-01,8.207438211975798259e-01,5.887270476480522818e-01
3.000000000000000000e+01,1.000000000000000000e+00,5.828093239102511980e-01,3.831117263923264904e-01,1.347578359458428965e-01,8.289801388101127877e-01,4.548055251798283072e-01,7.383129455374825012e-01,5.974807514144306886e-01,7.404665187014939365e-01,1.357535996515841781e-01
3.100000000000000000e+01,1.000000000000000000e+00,9.180151187275682467e-01,1.792827002103631884e-01,2.049162644402106048e-01,6.273744471821987023e-01,5.949571042335320969e-01,2.713338031723342425e-01,9.958344870339719268e-01,5.028370140426087209e-01,7.209195063430517969e-02
3.200000000000000000e+01,1.000000000000000000e+00,4.003691627348092696e-01,1.124959015470010648e-01,1.214102286180678281e-01,9.616864813468793960e-01,1.495114538428106155e-01,7.977126283538010787e-01,8.985043130810906886e-01,3.926275194782822275e-01,3.981017666261793542e-01
3.300000000000000000e+01,1.000000000000000000e+00,7.286182935892020485e-01,6.573533740656145596e-02,8.933269967608797879e-01,1.185242898873805073e-01,2.780392061178642571e-01,5.467721715749827016e-01,8.630116961626959071e-01,8.328480253197604322e-01,4.161905621922310505e-01
3.400000000000000000e+01,1.000000000000000000e+00,3.090292737269586532e-01,1.628361519270871138e-01,9.903138740164406650e-01,1.874620294131063014e-01,2.767436073771631921e-01,7.520546014658744394e-01,7.035946151833775142e-01,8.998942321932837940e-01,6.471822733202309275e-01
3.500000000000000000e+01,1.000000000000000000e+00,8.887475162554525632e-02,7.140825202002321070e-01,7.825008185500260671e-01,8.460942737083836374e-01,1.876779624935059898e-01,1.103510336135646863e-01,6.351192110561555415e-01,8.521461504609195714e-04,5.065176137450820848e-01
3.600000000000000000e+01,1.000000000000000000e+00,3.397967788220317420e-01,4.846710676997367795e-02,5.835377225722793160e-01,6.826817362401838007e-02,3.623491752549442557e-01,3.924470423713415368e-01,6.872742208217258453e-01,2.865082276517703086e-01,6.933144949907995569e-01
3.700000000000000000e+01,1.000000000000000000e+00,8.495931191962352580e-01,8.741691054925784243e-01,4.108182856295903296e-01,5.438127710910872770e-01,3.142086479502771423e-01,5.337569701582334236e-01,8.286392124757721023e-01,8.608512826640958293e-01,1.645710091732527358e-01
