# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=10.000000
# 
1.000000,0.002000,1.680542,-0.624298,-0.495433,1.588335,-1.693819,-1.816453,-3.973066,2.300453,-0.074427,82.920129,-166.636941,-83.716812
2.000000,0.002000,1.998497,2.440826,-1.838456,-1.333611,0.412344,-1.768135,-0.658008,-1.046968,0.760077,0.000000,0.000000,0.000000
3.000000,0.002000,0.269851,-0.151529,0.015620,-4.909743,2.105263,1.019885,-15.320942,9.679662,-3.093036,0.000000,0.002000,0.000000
4.000000,0.002000,0.027153,0.871940,-0.038344,-0.557940,-0.926737,-3.474536,-1.173794,-13.489173,0.031234,0.000000,0.002000,0.000000
5.000000,0.002000,0.181047,0.408872,-0.208935,1.761923,-1.218977,1.301852,-10.942571,-14.562992,8.616323,0.000000,0.002000,0.000000
6.000000,0.002000,0.236070,0.742886,-0.205621,-0.923698,1.387129,-2.063667,-5.506390,-12.932569,2.022787,0.000000,0.002000,0.000000
7.000000,0.002000,-0.119918,-0.673827,-0.804850,-0.847917,-1.664053,-3.960157,1.551917,7.031278,6.959586,0.000000,0.000000,0.000000
8.000000,0.002000,-0.426617,-0.928896,-0.550527,1.058180,2.102916,0.583201,2.840544,6.560247,3.114271,2261634.870339,15162836114057409318925158867715009758724723307107920364802712979500221137086736074421965016369120992930484453376.000000,0.000000
9.000000,0.002000,-1.611968,0.733732,1.558308,-0.905477,0.165471,1.151074,2.045492,-0.893419,-2.000430,0.002000,0.000000,0.000000
10.000000,0.002000,-0.917374,-0.103920,0.329065,2.658069,-1.218767,-3.246038,10.075288,2.020940,-4.028058,0.002000,676244120912392386681919574491213795566797428417642704259178515151134433659447821783043093022517813515145993774093183487159194344270912207678039939488036599308744178443218232479650392353184099454152605696.000000,0.000000
11.000000,0.002000,0.173148,0.219583,0.381163,1.540783,1.143913,-2.097034,-5.197656,-7.301547,-16.013231,0.002000,2500221303378604510772919964764528121414165229097818093298619928018944.000000,0.000000
12.000000,0.002000,0.891152,-1.435481,-0.623279,1.340916,-1.217894,-0.644371,-2.135512,3.624266,1.495233,0.002000,0.000000,0.000000
13.000000,0.002000,-0.487754,-0.638488,-0.454470,2.021530,0.664352,-2.349036,5.176169,8.647201,4.737137,0.002000,52131310582146920369709475960493243973795249990060430627914323748778105351246203359661565846751195522046637773438731681792.000000,0.000000
14.000000,0.002000,1.899002,0.943060,-0.213233,-0.440424,0.330850,0.823133,-3.210548,-1.459510,0.298099,0.002000,0.000000,0.000000
15.000000,0.002000,2.226167,-0.569007,1.094579,-1.615108,-0.456192,-1.065183,-2.169369,0.640280,-1.104318,0.002000,0.000000,0.000000
16.000000,0.002000,0.003485,-1.032947,-0.273899,-0.804798,-2.982356,1.760460,-0.207257,8.664029,2.062160,0.002000,0.000000,0.000000
17.000000,0.002000,0.320870,-0.609902,-0.278991,-1.680637,1.477824,-0.404175,-5.547377,12.236884,4.768291,0.002000,0.000000,0.000000
18.000000,0.002000,0.362380,-0.551455,-1.042146,-0.218408,-1.554294,-0.976923,-2.309571,3.990240,6.524364,0.002000,0.000000,0.000000
19.000000,0.002000,0.043563,0.027827,0.066198,-1.801654,-0.676054,1.395684,-13.076289,1.381198,-5.034238,0.002000,0.000000,0.000000
20.000000,0.002000,0.173534,-0.470932,0.071821,2.086253,1.115184,0.398931,-4.969699,15.501658,-3.472461,0.002000,0.000000,0.000000
21.000000,0.002000,0.317603,-0.117721,0.234323,0.408731,-1.390502,-2.236998,-18.874802,7.985433,-12.232603,0.002000,9747608336264493489544007987666029375491938944886541902309519928839297466628590099253795994202386619036908536384002527631554025937156201871049356070472320591654618015736595933232589271344041177552737194385364770557927578127407704576206534154018042946980383873762961915904.000000,0.000000
22.000000,0.002000,-0.559152,0.431368,0.087232,3.008622,-2.368032,-0.209403,14.063539,-9.130126,-3.348727,0.002000,12055653207903320229020284766118237764305285531244518734888808016078689619442894825005329652198199244675177425336772171226609449460242346281012753059575459132914324930801817577501298231831034320978099368281973121381279682853199822050081739519477755674624.000000,0.000000
23.000000,0.002000,-1.561113,0.907433,-0.527594,0.285530,1.800516,1.965636,3.788941,-2.018575,1.209998,0.002000,1.680542,0.000000
24.000000,0.002000,-0.187486,-0.139863,-0.046863,0.887148,-4.346269,0.522437,9.614627,11.294267,3.259357,0.002000,1.998497,0.000000
25.000000,0.002000,0.021969,1.121116,0.024483,-1.714189,-0.489808,-0.948344,-0.566285,-10.531647,-0.311762,0.002000,0.269851,0.000000
26.000000,0.002000,1.456579,0.426034,-0.816468,0.098766,-1.206690,-1.401519,-4.305076,-1.129159,2.228840,0.002000,0.027153,0.000000
27.000000,0.002000,0.431556,-0.175906,0.164790,0.806503,-2.879737,-0.743619,-15.696636,7.985737,-5.169533,0.002000,0.181047,0.000000
28.000000,0.002000,0.065219,0.056973,-0.303392,2.343190,3.728201,-2.296312,-3.224813,2.215315,14.908435,0.002000,0.236070,0.000000
29.000000,0.002000,0.998342,0.914240,-5.297220,-0.080992,-0.108230,-0.982146,-0.124111,-0.105799,0.647972,0.002000,-0.119918,0.000000
30.000000,0.002000,0.067711,-0.053548,0.479419,2.381898,2.946130,-2.703274,-3.822123,4.353358,-17.970632,0.002000,-0.426617,0.000000
31.000000,0.002000,0.192583,0.289272,0.045209,3.542354,-2.919335,-1.652622,-13.755014,-12.040760,-2.225898,0.002000,-1.611968,0.000000
32.000000,0.002000,-0.030348,0.416148,0.007147,-0.804399,-1.064602,-1.206905,-4.245091,-19.831639,-5.914674,0.002000,-0.917374,0.000000
33.000000,0.002000,-0.059287,0.274229,-0.023228,-1.026519,3.285257,-3.767556,1.980908,-10.325720,2.270320,0.002000,0.173148,0.000000
34.000000,0.002000,0.992828,0.553192,0.486215,1.801511,-1.127095,2.142394,-7.131909,-2.778396,-3.744307,0.002000,0.891152,0.000000
35.000000,0.002000,0.226611,0.127082,-0.139798,1.804427,-2.580829,5.541735,-12.340294,-2.973359,3.906534,0.002000,-0.487754,0.000000
36.000000,0.002000,2.045757,0.708203,-1.579616,-1.575875,0.314617,0.494167,-1.890103,-0.550603,1.443599,0.002000,1.899002,0.000000
37.000000,0.002000,-0.824154,0.224783,-3.498696,-0.983655,-0.467135,-1.745354,0.328673,-0.041305,1.404593,0.002000,2.226167,0.000000
38.000000,0.002000,1.127747,0.908896,-0.337752,-0.445497,1.101167,-1.398091,-5.250014,-3.536353,1.476443,0.002000,0.003485,0.000000
39.000000,0.002000,0.382111,-0.287926,-0.116081,-0.818901,1.645667,-3.089474,-14.320006,12.898101,2.871421,0.002000,0.320870,0.000000
40.000000,0.002000,-0.127313,0.293874,0.443327,-3.555809,2.701922,1.667239,3.713535,-8.140278,-16.963239,0.002000,0.362380,0.000000
41.000000,0.002000,-0.137909,0.169576,0.473944,-1.952893,1.786147,3.191990,4.862356,-2.850241,-17.183059,0.002000,0.043563,0.000000
42.000000,0.002000,1.159163,-1.636991,1.751760,-0.156428,-0.697870,1.503171,-0.948070,1.433999,-1.407743,0.002000,0.173534,0.000000
43.000000,0.002000,-0.526926,0.725181,0.484607,2.457000,3.491733,-0.825169,5.853491,-7.189340,-6.330606,0.002000,0.317603,0.000000
44.000000,0.002000,0.221337,0.227107,-0.197309,-0.908824,2.958765,0.037242,-12.291787,-9.987608,6.792743,0.002000,-0.559152,0.000000
45.000000,0.002000,0.165339,-0.117090,-0.346463,-4.491390,-0.839052,-0.258528,-5.809242,9.739286,13.435930,0.002000,-1.561113,0.000000
46.000000,0.002000,0.244622,0.036273,-0.127720,-0.837590,0.674311,-3.350143,-11.956791,3.398907,5.605879,0.002000,-0.187486,0.000000
47.000000,0.002000,0.728970,0.340311,0.327192,-3.247302,-0.695514,0.146577,-10.217476,-4.385069,-5.404460,0.002000,0.021969,0.000000
48.000000,0.002000,0.413158,0.516806,0.151755,0.192435,2.384433,-0.058238,-11.005601,-11.157279,-4.512316,0.002000,1.456579,0.000000
49.000000,0.002000,5.694355,0.930282,2.450745,0.217512,-0.012776,0.223701,-0.455549,-0.068602,-0.194653,0.002000,0.431556,0.000000
50.000000,0.002000,0.247523,0.449493,0.512057,-2.578027,-1.200997,-2.893316,-4.666431,-8.603445,-11.860470,0.002000,0.065219,0.000000
51.000000,0.002000,-0.267788,0.698249,-0.273479,-2.319326,2.053045,-1.574400,5.331350,-13.514728,4.757402,0.002000,0.998342,0.000000
52.000000,0.002000,-0.384885,-0.142957,0.500087,-1.605751,-0.389377,-1.608957,9.598086,5.128603,-12.921398,0.002000,0.067711,0.000000
53.000000,0.002000,1.050775,0.207088,-0.168774,1.524003,-0.264287,-0.137348,-9.544387,-1.237748,1.386499,0.002000,0.192583,0.000000
54.000000,0.002000,-0.072697,-0.108578,0.888616,-3.040660,-1.078816,-2.236126,0.505128,2.331490,-11.406528,0.002000,-0.030348,0.000000
55.000000,0.002000,-0.544891,0.035881,0.038377,-3.430362,0.177469,-2.512826,21.804822,0.592481,-2.131262,0.002000,-0.059287,0.000000
56.000000,0.002000,0.040283,0.563046,-0.906274,-0.695232,1.274591,0.310432,-0.513902,-4.635976,9.613283,0.002000,0.992828,0.000000
57.000000,0.002000,0.083839,-0.723080,-0.771594,-3.479656,-0.486506,-2.400052,-0.876957,7.244566,6.604559,0.002000,0.226611,0.000000
58.000000,0.002000,0.521808,1.165963,-1.300315,-0.557107,-1.074638,2.575574,-1.326068,-2.669890,3.918337,0.002000,2.045757,0.000000
59.000000,0.002000,-0.011737,0.066069,0.759476,1.986765,-1.500359,0.085816,0.349153,0.059586,-14.206614,0.002000,-0.824154,0.000000
60.000000,0.002000,-0.066751,0.155924,-0.140542,-1.003743,-1.660062,0.424048,4.490976,-7.149480,3.934016,0.002000,1.127747,0.000000
61.000000,0.002000,-0.660700,0.372261,0.514743,1.918980,1.819074,0.279751,9.221562,-4.261249,-7.421883,0.002000,0.382111,0.000000
62.000000,0.002000,2.553437,-0.674871,2.151076,-1.375744,0.200368,0.045657,-1.078966,0.320907,-1.008892,0.002000,-0.127313,0.000000
63.000000,0.002000,-0.050552,0.200705,-0.277826,-2.589149,1.030033,0.874129,1.578076,-6.856475,11.548893,0.002000,-0.137909,0.000000
64.000000,0.002000,0.427655,-0.483879,0.074045,3.177597,0.825495,1.056410,-8.397919,11.596360,-3.313530,0.002000,1.159163,0.000000
65.000000,0.002000,0.417521,0.314922,0.236114,0.329330,3.600043,-1.915038,-14.541587,-6.978325,-8.339250,0.002000,-0.526926,0.000000
66.000000,0.002000,-0.224637,0.174160,0.147354,1.458254,-2.842981,-4.815752,13.114095,-9.009073,-13.160613,0.002000,0.221337,0.000000
67.000000,0.002000,2.291686,-2.453392,1.282177,0.720999,-0.441864,0.301849,-0.894294,0.974094,-0.497009,0.002000,0.165339,0.000000
68.000000,0.002000,-0.292941,1.206489,-0.077188,1.279406,-1.711861,2.472168,2.408423,-8.894790,0.105394,0.002000,0.244622,0.000000
69.000000,0.002000,-1.275393,0.862170,-0.748515,-0.925304,3.163317,0.392942,4.023616,-2.497020,2.331513,0.002000,0.728970,0.000000
70.000000,0.002000,0.607818,0.077238,-0.443972,-2.969438,2.155042,-0.163077,-12.389038,-0.376163,8.337627,0.002000,0.413158,0.000000
71.000000,0.002000,0.061157,-0.352930,0.503775,-1.832458,-2.829201,-0.333940,-2.204958,10.950416,-12.483202,0.002000,5.694355,0.000000
72.000000,0.002000,0.935630,0.720418,0.502093,-0.060877,0.601505,-0.729688,-5.911891,-4.197332,-3.328966,0.002000,0.247523,0.000000
73.000000,0.002000,1.461232,-2.302015,-3.272818,-0.635327,0.761877,0.273095,-0.371318,0.594147,0.792676,0.002000,-0.267788,0.000000
74.000000,0.002000,-0.163925,0.281699,0.315373,0.652638,-2.947001,-0.844798,7.971134,-10.324314,-14.321470,0.002000,-0.384885,0.000000
75.000000,0.002000,3.158306,-0.569286,-0.367231,0.190643,-0.246572,0.997214,-1.662112,0.316724,0.192665,0.002000,1.050775,0.000000
