# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=8.000000
# 
1.000000,0.002000,-2.489772,-0.625479,-1.037236,0.789799,0.830933,1.198619,2.099309,0.570012,0.863344,84.266235,-166.731754,-82.465519
2.000000,0.002000,1.799969,-0.479797,2.367956,1.816407,1.680379,-1.082512,-1.162640,0.371414,-1.504097,0.000000,0.000000,0.000000
3.000000,0.002000,0.719144,0.527563,-1.273451,-0.573782,-0.869866,1.604316,-2.911388,-1.865270,4.888397,0.000000,0.000000,0.000000
4.000000,0.002000,-0.334182,-0.345444,-0.842994,-0.789048,-2.826811,-0.262703,4.387926,4.615226,9.650748,nan,0.000000,0.000000
5.000000,0.002000,-0.413884,-0.378807,0.132949,-0.195258,-0.382887,-1.311304,10.686538,11.790148,-4.524514,0.000000,0.000000,0.000000
6.000000,0.002000,0.335505,0.471033,0.312455,-1.875582,0.396895,-3.148680,-10.204501,-11.722300,-10.136901,0.000000,0.000000,0.000000
7.000000,0.002000,-0.181346,3.502801,1.991127,0.001735,-0.321744,0.443728,0.054403,-1.045309,-0.623887,0.000000,1577139022369446083322798405560457826463402338589605888.000000,0.000000
8.000000,0.002000,0.195409,0.177903,1.034193,-0.671223,-0.924371,-0.415593,-1.399083,-0.811709,-8.897154,4787142885798284855643719328774778173795084465174780641693637665648403877169013833835529490445327801418802613545316354916722037909682831782952926534213756634845881425509470953275392.000000,930382473798674171610975997523362011431124862008408021056652788629504.000000,0.000000
9.000000,0.002000,3.674335,-2.375341,-2.309001,0.357271,-0.180595,-0.347915,-0.594102,0.386482,0.367862,0.000000,0.002000,0.000000
10.000000,0.002000,-0.170586,-0.877191,-1.051365,1.982787,2.644518,1.755946,0.676591,4.609224,5.013347,110635040058481679411514612453443184812538708864458969506756681039152082237526959845920215643780174509973234098540444092991932712850278572228240991555595583386670857736495119495455878108896857050578944.000000,0.002000,0.000000
11.000000,0.002000,0.511436,0.127127,0.584291,1.014475,1.342422,0.170648,-9.246457,-1.119388,-10.120392,6290249991981503926886157919257818480068077002863106881581926316779113236916075250088185699340216948616574972492619074843610900712036786189768187795708741233328991815551598924398592.000000,0.002000,0.000000
12.000000,0.002000,-0.335555,1.935635,0.786057,-0.801890,1.143152,0.675640,0.484924,-3.288472,-1.428901,1109012494741397987484543737691401318909060178886875582239867855680697677722197282973016375103961476976053819161181920992190165124037563755145170653511545320734569147945263655744364463638667623220058524796865353799958528.000000,0.002000,0.000000
13.000000,0.002000,-0.830288,-0.113494,0.532513,-0.760870,-2.532669,-1.856017,9.228053,1.718129,-6.362438,0.000000,0.002000,0.000000
14.000000,0.002000,0.324976,-0.592908,-1.304612,0.620863,1.896877,2.550963,-1.460091,2.796500,5.351326,31091784414728264655539602971689349090085441500613317120753575695656055987010049539047424.000000,0.002000,0.000000
15.000000,0.002000,2.717453,0.533366,1.687363,-0.176735,-0.579535,-0.286321,-1.444245,-0.254651,-0.881777,2285262.556982,0.002000,0.000000
16.000000,0.002000,-0.575062,0.504534,1.506346,-0.514434,2.322214,1.618860,1.594162,-1.335022,-4.793306,5993431493856710198719123052054670718426509187359637773007849239998886030436812357414513822822744195072.000000,0.002000,0.000000
17.000000,0.002000,-0.534190,-0.047152,-0.055918,-3.991126,0.378935,0.403817,19.584003,3.583415,0.819322,2289350.509804,0.002000,0.000000
18.000000,0.002000,0.143282,-0.369828,-0.702901,-0.818451,-1.848555,-0.017717,-2.596970,6.771401,11.237166,2273922.526101,0.002000,0.000000
19.000000,0.002000,-0.222692,0.082614,-0.098498,0.646731,0.116537,-1.001854,11.516468,-3.928965,6.169318,1535090.422703,0.002000,0.000000
20.000000,0.002000,-0.043385,0.469836,-0.085026,-1.133948,0.147660,-1.802837,0.608693,-20.849315,7.264169,26840764939309020721218979383864957699904490538083716984671519952491802474628511243032042251456726053511434862592.000000,0.002000,0.000000
21.000000,0.002000,-0.124957,-0.355938,-0.479942,-1.749928,-0.101506,0.074644,2.571602,11.160395,14.043169,4044428665534533611213304356226034688368302655130664193683801731533799845287340412248928573518144816870169935151169192682206805035506263134387664693856188131845029367226826752.000000,0.002000,0.000000
22.000000,0.002000,0.516092,0.468976,0.565042,-0.905373,-1.958808,-1.953278,-6.463848,-5.757688,-7.322543,156272876253969123815436317796159332680600117272221668544831330872237022458226686107421595209353818992906750866241561296896.000000,0.002000,0.000000
23.000000,0.002000,1.288968,-0.598999,0.459224,-0.320526,-2.063227,-2.209167,-4.816513,2.536464,-1.810937,934262174692957178060646332511646691896184848498820356791054081674722700114857736510612291262391410025950791271607882163463982075179100531517979495176511759618932736.000000,0.002000,0.000000
24.000000,0.002000,-0.695175,0.244815,0.338152,-0.633482,-0.902504,-0.062663,13.779368,-3.676050,-5.827480,856015154180819309336236949353314342567447089315044053248852705301598769483239183563113567306933652006410620446301653238423509224860437578529986665689168211738172290236416.000000,0.002000,0.000000
25.000000,0.002000,0.203141,0.182602,0.339390,-2.474161,2.835066,-2.041911,-12.796103,-5.582424,-16.332709,2631752116622533446294666818379868278039058723156730174242816.000000,0.002000,0.000000
26.000000,0.002000,-0.366658,-0.928448,-1.120219,-1.214932,0.650081,1.651961,1.440901,4.062364,4.369411,164954577217361082818897578950164774995798469262047852491577782728319098036110500227034419040835097742588506791212401861529613712099141462735817291962056448147456.000000,0.002000,0.000000
27.000000,0.002000,-0.203189,0.447990,-0.066441,3.366367,1.407131,1.349751,7.018209,-18.038511,4.848791,139991206025706966380896211483458599161349890892989886103552.000000,0.002000,0.000000
28.000000,0.002000,-0.085991,-0.130170,0.118120,-0.221098,-4.236657,-2.608520,2.899567,9.769481,-16.324998,21488054396700792230289958030054126405604308178483686986239676532737185186174849763302190329953601704955545430927953848666659385094387312039901986006769378947818848256.000000,0.002000,0.000000
29.000000,0.002000,-3.357031,-2.872260,2.823912,0.898415,0.852707,-0.324679,0.449295,0.391462,-0.385468,1276660262919024153610949847223893340499009603726971265613824.000000,0.002000,0.000000
30.000000,0.002000,-0.069682,-0.006141,0.619154,0.778856,0.991560,4.096886,0.726467,2.194980,-15.910588,7525316737058676795382035762500765404229250976645820451343278800575148531805077908107370658697101652263748182506710006064657420809372538696252535919114767262788344882418115655057136270817868859767976234097881828869942782840247402090638287753445376.000000,0.002000,0.000000
31.000000,0.002000,0.390998,0.784377,-0.046657,1.837558,-0.292984,-0.232112,-6.885769,-12.533301,0.246197,9713646261546692.000000,0.002000,0.000000
32.000000,0.002000,-0.330444,0.191295,-0.254246,0.147669,-2.418394,-0.697186,12.162917,-8.204931,10.336725,2267824.681923,0.002000,0.000000
33.000000,0.002000,0.367450,-0.294673,1.027290,-0.181684,1.085630,0.610714,-3.319327,2.802867,-7.701089,167896874519916015894601469526233460405390688783293775311264040812592244363106892642329134643114601115420239175893938864128.000000,0.002000,0.000000
34.000000,0.002000,0.329435,0.077322,0.329919,-0.659211,-4.232505,3.109164,-14.805626,-0.945536,-13.307765,17187685.027168,0.002000,0.000000
35.000000,0.002000,-2.293498,0.588581,-1.309211,-0.761264,0.559913,-1.111546,2.076842,-0.520238,1.136844,325138031817047581357600229974148570825364938357654410365663712952347485587913048064.000000,0.002000,0.000000
36.000000,0.002000,1.749653,-0.004459,-0.872235,1.341446,0.769548,-1.631720,-3.635445,0.261573,1.886290,412970398446300573479526037427942038954303216195267062914369972626003632051683057472444621739207841271380999421344307622172766298995902842032917881269735239696599325391770726957056.000000,0.002000,0.000000
37.000000,0.002000,0.203355,-0.067922,0.919441,1.369333,2.565269,-4.095070,-2.397859,1.555920,-10.602271,4575679504644235888367983405783086495579195714010724966431059891401430383023837629861191760296407334879749953062377066114715760708265129280350820924964145482054271792526127789162357010466417635769469370368.000000,0.002000,0.000000
38.000000,0.002000,0.707464,0.541379,-0.105953,-3.370185,-1.316970,-1.090218,-10.585909,-7.249515,0.890439,2289282.917792,0.002000,0.000000
39.000000,0.002000,-0.276964,0.283232,0.573875,1.070702,-2.109546,-0.434375,6.239763,-6.973544,-16.363564,4455190696387184733199807053868013685460505768653954279036499468633774548769997528739110255666321611057450989340587274352177957507910908628384564287981746473129738240.000000,0.002000,0.000000
40.000000,0.002000,-0.359017,-0.090519,-0.498472,3.720180,-1.411428,2.349216,9.072798,3.205903,13.656266,15879279914781773375542516183317470852859077065315059186645415882518959284049086516850470580934368877755224617457409954672541696.000000,0.002000,0.000000
41.000000,0.002000,-0.455430,-0.059457,1.176750,-0.017014,0.619184,-1.008241,2.654116,0.941600,-7.557131,556410047883462678039641527400273742393576424788844530186318364250823013804020381366811103711096470478258176.000000,0.002000,0.000000
42.000000,0.002000,-0.018165,0.278632,-0.475150,4.206352,-3.533448,0.963962,-1.389535,-7.303891,15.014722,1422440950915999851492180273505049875896512658456894026075962228080640.000000,0.002000,0.000000
43.000000,0.002000,1.224306,-0.069183,-1.103190,0.705886,-2.515996,-1.229553,-3.773271,0.365361,3.462140,33289483419470682392939038643516004945364134342066751944544912570342269977100972474026695538026009846063013657803576395574504376207602474532792150639874748975995529114742701926625645951537004948462912833819501631148569056413113909248.000000,0.002000,0.000000
44.000000,0.002000,-0.592707,0.011664,0.496153,1.321497,-2.056011,-0.526947,10.873983,0.792285,-9.391631,2833290889380246228709387354128613797722084425365346720487743934877817685291899737313020899475466748879250000843927096369693896746249589582490233451699306865144345841577784153305039493600267593076171918633138589536012511939592109793502362025044531213843215893676248897928822784.000000,0.002000,0.000000
45.000000,0.002000,0.258774,0.075134,-0.536703,-2.217206,0.280812,-0.916696,-6.220491,-2.232548,15.983049,0.000000,0.002000,0.000000
46.000000,0.002000,-0.454331,-0.393652,0.368303,1.346898,-0.083408,1.295984,8.102766,10.352740,-8.529833,15035401507424295751462968538090416777926091235288919014716714256636285076273488554055036827874324989891314599053584140040203977454314753653545870727139532313581000055712645120.000000,0.002000,0.000000
47.000000,0.002000,0.858086,-0.537903,-1.406402,0.302837,0.726321,0.639715,-2.431505,1.597301,3.758163,1614820944853019672815075681121353090701959897258962687937541250376438406663301156329290909256913218866427160231332815217152750176971530877189529582482529817592665370948684952007830401112113997324364499321965979056804080602121614272091701113427735871488.000000,0.002000,0.000000
48.000000,0.002000,0.391310,-0.453957,0.250007,1.522215,-0.228831,1.458827,-8.902320,10.410961,-6.538562,21078943747164840459253439046256277866896878157991531905704613352414072363764204232163205011310522483941811457694428359749112976666525733629500979228293297762108041645344686080.000000,0.002000,0.000000
49.000000,0.002000,3.721412,0.099009,1.942169,0.006970,-0.108924,0.256411,-0.954757,-0.017811,-0.444150,2792886645483820442527332732989385107678417535112070958891518493023669528283406598072629723136.000000,0.002000,0.000000
50.000000,0.002000,-0.233656,-0.276663,-0.290260,2.986442,1.948172,2.398985,7.166880,14.076232,12.853472,23430240529449629480351529393352409686062950698171389735885340672.000000,0.002000,0.000000
51.000000,0.002000,-0.333762,-1.087191,0.072216,0.799746,0.279732,0.333563,2.296807,8.585722,-0.374160,1736150550967264009092398779861489697857521086600892365114297793142039127705598382585730766008282077364087022432816369711973062272583711053365782239519877800642961764523280439061425538615018067776377710684047963466571778898264064.000000,0.002000,0.000000
52.000000,0.002000,0.649901,-0.097127,-0.519176,0.853191,-0.420768,1.397129,-11.099396,1.293639,7.910774,299122362697.631653,0.002000,0.000000
53.000000,0.002000,0.388902,0.163191,-0.107660,-4.253240,-1.778436,-0.199705,-17.126049,-4.846034,4.368184,9879245889890064814192553940337850636639528195202392688059565649543237850098695391583086204006038979505283521169881366523805696.000000,0.002000,0.000000
54.000000,0.002000,-0.251903,0.027510,-0.646724,2.969073,2.063651,-3.030836,5.462905,-0.366636,14.834052,2989046885381963251712.000000,0.002000,0.000000
55.000000,0.002000,0.341270,0.515294,-0.102101,0.118106,0.718713,0.560249,-9.926663,-13.564034,2.202184,64907593906201646970050644986245760682579917099827794733665346438518556241326387362052381382399843297110309715740638223198329170971651095836838648692098723309250639349844867137390122100268751212990322716966912.000000,0.002000,0.000000
56.000000,0.002000,-0.085727,-0.536855,0.139502,0.682331,1.853910,-2.248721,1.692288,15.651704,-3.397468,1776282537425782719660106448896.000000,0.002000,0.000000
57.000000,0.002000,-1.000670,2.301139,1.647398,1.430080,-0.287760,0.383621,0.630754,-1.574346,-1.181175,1699473860885642502260113928697706120653526566619784650098615473569353361758245769084007475440259422877686508530126942136824791964803218178082633388869389331056160832767631827140608.000000,0.002000,0.000000
58.000000,0.002000,-0.518500,-0.363952,-2.105960,-0.574955,-0.194841,-2.581122,0.810843,0.665056,3.263909,626557849221212771784237625446021607724493565907380098482016563933980510447399444382151081984.000000,0.002000,0.000000
59.000000,0.002000,-0.057910,-0.124871,0.829174,1.919517,-1.238516,-0.342584,-0.173629,3.015716,-12.637469,0.000000,0.002000,0.000000
60.000000,0.002000,-0.065638,0.051020,0.184737,-0.063716,-0.584754,2.427857,4.929890,-2.619160,-11.359375,8496599575667929921772509703000293827697293086852526127337503486104795233144400643647178664753099702272.000000,0.002000,0.000000
