# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=0.000000
# 
1.000000,0.002000,1.764052,0.400157,0.978738,0.371232,0.304784,0.504125,-3.218116,-0.662569,-1.883920,30.087305,113.605596,143.692901
2.000000,0.002000,2.240893,1.867558,-0.977278,0.135300,0.653759,-0.100181,-1.491493,-1.246586,0.674600,0.000000,0.000000,0.000000
3.000000,0.002000,0.950088,-0.151357,-0.103219,-0.863291,-0.773870,-0.890328,-4.112174,-0.723545,2.889362,0.000000,0.000000,0.000000
4.000000,0.002000,0.410599,0.144044,1.454274,0.030399,-1.579630,-1.880763,-1.504181,-1.136946,-4.444193,0.000000,0.000000,0.000000
5.000000,0.002000,0.761038,0.121675,0.443863,0.471592,0.700764,-0.420083,-3.181791,-0.330794,-2.193861,0.000000,0.000000,0.000000
6.000000,0.002000,0.333674,1.494079,-0.205158,-0.622046,-0.053797,0.681501,-0.522387,-4.616743,0.463617,0.000000,0.000000,0.000000
7.000000,0.002000,0.313068,-0.854096,-2.552990,-1.299665,0.764191,0.113091,-0.372524,0.699677,2.457164,0.002000,1.764052,0.000000
8.000000,0.002000,0.653619,0.864436,-0.742165,0.347642,0.894152,0.075790,-1.963154,-2.162346,2.562496,0.002000,2.240893,0.000000
9.000000,0.002000,2.269755,-1.454366,0.045759,1.665637,0.465137,0.710757,-2.139794,1.413836,-0.079745,0.002000,0.950088,0.000000
10.000000,0.002000,-0.187184,1.532779,1.469359,-2.135204,0.927184,1.399528,0.310262,-2.576208,-2.512305,0.002000,0.410599,0.000000
11.000000,0.002000,0.154947,0.378163,-0.887786,-1.473374,0.333372,1.292028,-0.995312,-1.610669,3.257922,0.002000,0.761038,0.000000
12.000000,0.002000,-1.980796,-0.347912,0.156349,-0.093562,-1.477596,-2.218590,3.549412,0.632032,-0.375465,0.002000,0.333674,0.000000
13.000000,0.002000,1.230291,1.202380,-0.387327,-1.015577,-0.017031,0.443037,-2.787465,-2.736074,1.177562,0.002000,0.313068,0.000000
14.000000,0.002000,-0.302303,-1.048553,-1.420018,-0.066979,2.095537,-1.289124,0.791543,2.568340,3.420267,0.002000,0.653619,0.000000
15.000000,0.002000,-1.706270,1.950775,-0.509652,-0.331333,0.150810,-1.021467,1.746678,-1.904626,0.534647,0.002000,2.269755,0.000000
16.000000,0.002000,-0.438074,-1.252795,0.777490,0.605059,-0.322683,-0.639383,1.080402,3.483293,-1.903736,0.002000,-0.187184,0.000000
17.000000,0.002000,-1.613898,-0.212740,-0.895467,-0.735483,0.594866,0.051482,3.454380,0.364337,2.188705,0.002000,0.154947,0.000000
18.000000,0.002000,0.386902,-0.510805,-1.180632,-0.348747,0.299856,-2.391731,-1.411487,1.624117,3.727058,0.002000,-1.980796,0.000000
19.000000,0.002000,-0.028182,0.428332,0.066517,1.938980,1.366270,-0.275757,0.654957,-1.952183,-1.489470,0.002000,1.230291,0.000000
20.000000,0.002000,0.302472,-0.634322,-0.362741,-0.377647,0.028956,0.427113,-1.339219,2.710299,1.267980,0.002000,-0.302303,0.000000
21.000000,0.002000,-0.672460,-0.359553,-0.813146,-1.470314,-0.824195,-0.934075,2.350768,-0.057008,0.782739,0.002000,-1.706270,0.000000
22.000000,0.002000,-1.726283,0.177426,-0.401781,-0.096526,-0.312995,-2.109996,3.865458,-0.427860,0.901079,0.002000,-0.438074,0.000000
23.000000,0.002000,-1.630198,0.462782,-0.907298,-0.496159,-0.623293,-0.465035,3.204099,-1.116474,1.674253,0.002000,-1.613898,0.000000
24.000000,0.002000,0.051945,0.729091,0.128983,0.970004,-0.174473,1.518035,-0.406549,-2.098133,-0.445104,0.002000,0.386902,0.000000
25.000000,0.002000,1.139401,-1.234826,0.402342,0.635785,-0.295708,-0.733479,-2.505861,2.923355,-0.920832,0.002000,-0.028182,0.000000
26.000000,0.002000,-0.684810,-0.870797,-0.578850,0.354625,0.143840,0.011488,2.473211,2.962038,1.956583,0.002000,0.302472,0.000000
27.000000,0.002000,-0.311553,0.056165,-1.165150,2.313824,0.616604,0.509424,1.422771,-0.404899,4.115305,0.002000,-0.672460,0.000000
28.000000,0.002000,0.900826,0.465662,-1.536244,0.202675,-0.844094,-0.557598,-1.945596,-0.865932,3.315328,0.002000,-1.726283,0.000000
29.000000,0.002000,1.488252,1.895889,1.178780,0.386718,0.923609,0.240630,-1.321579,-1.801513,-1.095211,0.002000,-1.630198,0.000000
30.000000,0.002000,-0.179925,-1.070753,1.054452,0.991216,0.589610,0.324705,1.545961,1.593458,-3.971621,0.002000,0.051945,0.000000
31.000000,0.002000,-0.403177,1.222445,0.208275,-0.063135,-0.847229,0.470304,1.345095,-4.705342,-1.701692,0.002000,1.139401,0.000000
32.000000,0.002000,0.976639,0.356366,0.706573,0.569503,0.139707,-0.248726,-3.419270,-1.380563,-2.343630,0.002000,-0.684810,0.000000
33.000000,0.002000,0.010500,1.785870,0.126912,1.125897,-1.002726,-1.033844,0.157956,-4.126958,-0.265693,0.002000,-0.311553,0.000000
34.000000,0.002000,0.401989,1.883151,-1.347759,1.107222,-0.789264,1.695165,-0.630595,-2.457698,1.709757,0.002000,0.900826,0.000000
35.000000,0.002000,-1.270485,0.969397,-1.173123,0.143816,0.072378,1.462379,2.343174,-1.654913,2.391497,0.002000,1.488252,0.000000
36.000000,0.002000,1.943621,-0.413619,-0.747455,0.693774,0.069551,2.172890,-4.847895,-5.407325,2.697899,0.002000,-0.179925,0.000000
37.000000,0.002000,1.922942,1.480515,1.867559,-0.397166,1.081994,0.304380,-1.275761,-0.985720,-1.283675,0.002000,-0.403177,0.000000
38.000000,0.002000,0.906045,-0.861226,1.910065,1.498671,0.693502,0.514437,nan,1.351161,-2.792610,0.002000,0.976639,0.000000
39.000000,0.002000,-0.268003,0.802456,0.947252,-0.708904,2.025278,2.035237,0.950175,-2.830676,-3.587251,0.002000,0.010500,0.000000
40.000000,0.002000,-0.155010,0.614079,0.922207,-0.514057,-0.438577,0.105213,0.378004,-1.872326,-4.078655,0.002000,0.401989,0.000000
41.000000,0.002000,0.376426,-1.099401,0.298238,0.707076,1.129884,0.952628,-1.281120,4.026447,-1.394598,0.002000,-1.270485,0.000000
42.000000,0.002000,1.326386,-0.694568,-0.149635,-0.340337,0.367959,-0.559070,-3.615336,2.066477,-0.232159,0.002000,1.943621,0.000000
43.000000,0.002000,-0.435154,1.849264,0.672295,0.550662,-1.255408,0.921256,0.756860,-3.397601,-1.351393,0.002000,1.922942,0.000000
44.000000,0.002000,0.407462,-0.769916,0.539249,0.378935,0.416218,0.888414,-1.539626,2.515548,-2.760099,0.002000,0.906045,0.000000
45.000000,0.002000,-0.674333,0.031831,-0.635846,0.895434,1.376529,0.166954,2.939223,-0.664560,3.155418,0.002000,-0.268003,0.000000
46.000000,0.002000,0.676433,0.576591,-0.208299,2.194797,-1.076597,-0.441511,-2.891752,-2.576752,0.084111,0.002000,-0.155010,0.000000
47.000000,0.002000,0.396007,-1.093062,-1.491258,-0.805644,-0.539552,1.439106,-1.068176,2.436239,3.330927,0.002000,0.376426,0.000000
48.000000,0.002000,0.439392,0.166673,0.635031,-1.055051,-0.343383,-0.733918,-1.843388,-0.162302,-2.472319,0.002000,1.326386,0.000000
49.000000,0.002000,2.383145,0.944479,-0.912822,-0.539192,-0.292026,2.495695,-2.204197,-0.876053,0.881788,0.002000,-0.435154,0.000000
50.000000,0.002000,1.117016,-1.315907,-0.461585,1.754162,0.399911,-0.565739,-2.643805,3.091091,0.943046,0.002000,0.407462,0.000000
51.000000,0.002000,-0.068242,1.713343,-0.744755,-1.451394,0.067375,1.331170,0.660882,-3.990613,1.665611,0.002000,-0.674333,0.000000
52.000000,0.002000,-0.826439,-0.098453,-0.663478,-0.903251,-1.189993,0.907809,3.283825,0.307530,3.081485,0.002000,0.676433,0.000000
53.000000,0.002000,1.126636,-1.079932,-1.147469,-0.579997,-1.037743,-0.636806,-2.412074,2.280207,2.249701,0.002000,0.396007,0.000000
54.000000,0.002000,-0.437820,-0.498032,1.929532,0.352895,0.421934,-0.182667,0.724151,0.843072,-3.400549,0.002000,0.439392,0.000000
55.000000,0.002000,0.949421,0.087551,-1.225436,-0.594368,2.251719,0.712438,-2.728806,-0.252247,3.383413,0.002000,2.383145,0.000000
56.000000,0.002000,0.844363,-1.000215,-1.544771,-0.550487,-0.867016,-0.253259,-1.583421,1.964577,3.125482,0.002000,1.117016,0.000000
57.000000,0.002000,1.188030,0.316943,0.920859,-0.961106,0.510934,-0.978807,-4.264959,-0.649234,-3.211948,0.002000,-0.068242,0.000000
58.000000,0.002000,0.318728,0.856831,-0.651026,0.771044,0.052221,-0.164243,-1.060830,-2.834410,2.697441,0.002000,-0.826439,0.000000
59.000000,0.002000,-1.034243,0.681595,-0.803410,-0.239817,1.071878,-0.276975,2.574841,-2.014974,2.303694,0.002000,1.126636,0.000000
60.000000,0.002000,-0.689550,-0.455533,0.017479,0.834158,-0.912841,0.602292,3.752425,2.023407,0.375815,0.002000,-0.437820,0.000000
61.000000,0.002000,-0.353994,-1.374951,-0.643618,-1.187230,0.588281,-0.783798,1.332001,4.014284,1.548062,0.002000,0.949421,0.000000
62.000000,0.002000,-2.223403,0.625231,-1.602058,0.002977,0.914937,-0.002352,1.872075,-0.469795,1.373464,0.002000,0.844363,0.000000
63.000000,0.002000,-1.104383,0.052165,-0.739563,-0.342342,-0.234275,-0.258871,3.558463,-0.205838,2.673478,0.002000,1.188030,0.000000
64.000000,0.002000,1.543015,-1.292857,0.267051,0.586124,0.290159,-1.991951,-2.803771,2.282118,-0.433106,0.002000,0.318728,0.000000
65.000000,0.002000,-0.039283,-1.168093,0.523277,-0.507732,-1.055748,-1.390352,-0.024429,3.929415,-1.647803,0.002000,-1.034243,0.000000
66.000000,0.002000,-0.171546,0.771791,0.823504,-0.861714,1.819499,1.490983,0.617877,-3.649387,-2.109170,0.002000,-0.689550,0.000000
67.000000,0.002000,2.163236,1.336528,-0.369182,1.157359,-3.581046,-0.944321,-2.412615,-1.427549,0.478923,0.002000,-0.353994,0.000000
68.000000,0.002000,-0.239379,1.099660,0.655264,-0.656345,-1.995814,-0.427504,1.091191,-3.611856,-2.269505,0.002000,-2.223403,0.000000
69.000000,0.002000,0.640132,-1.616956,-0.024326,-1.997431,1.051509,1.403656,-2.199837,4.597578,0.624698,0.002000,-1.104383,0.000000
70.000000,0.002000,-0.738031,0.279925,-0.098150,-0.823941,-0.217992,0.884321,3.142224,-1.739440,0.713893,0.002000,1.543015,0.000000
71.000000,0.002000,0.910179,0.317218,0.786328,0.436718,-0.915212,0.509275,-3.317668,-1.587711,-2.594909,0.002000,-0.039283,0.000000
72.000000,0.002000,-0.466419,-0.944446,-0.410050,-0.432586,-0.289898,0.160892,2.297909,3.698317,2.273309,0.002000,-0.171546,0.000000
73.000000,0.002000,-0.017020,0.379152,2.259309,0.043397,0.722573,-2.370692,0.075064,-0.541953,-3.094425,0.002000,2.163236,0.000000
74.000000,0.002000,-0.042257,-0.955945,-0.345982,-0.115257,-0.244342,-1.706404,0.122385,3.858909,1.242448,0.002000,-0.239379,0.000000
75.000000,0.002000,-0.463596,0.481481,-1.540797,-2.250295,0.962362,-0.920293,1.242686,-1.263164,3.696185,0.002000,0.640132,0.000000
76.000000,0.002000,0.063262,0.156507,0.232181,0.555428,1.493669,-0.853838,-0.610845,-0.724199,-2.555729,0.002000,-0.738031,0.000000
77.000000,0.002000,-0.597316,-0.237922,-1.424061,0.411825,0.419962,1.083478,1.978793,0.382267,3.928799,0.002000,0.910179,0.000000
78.000000,0.002000,-0.493320,-0.542861,0.416050,0.769297,0.906145,-1.794468,2.380156,2.699541,-1.778796,0.002000,-0.466419,0.000000
79.000000,0.002000,-1.156182,0.781198,1.494485,-1.693452,1.080093,2.914835,2.242859,-1.228843,-2.939355,0.002000,-0.017020,0.000000
80.000000,0.002000,-2.069985,0.426259,0.676908,-0.627312,-1.070494,-1.096416,3.307891,-0.684101,-0.869830,0.002000,-0.042257,0.000000
81.000000,0.002000,-0.637437,-0.397272,-0.132881,1.269294,-0.067021,0.468387,3.191287,1.522932,0.506945,0.002000,-0.463596,0.000000
82.000000,0.002000,-0.297791,-0.309013,-1.676004,-0.227823,-1.696969,-0.129462,0.828662,0.386013,4.102672,0.002000,0.063262,0.000000
83.000000,0.002000,1.152332,1.079619,-0.813364,1.391054,-0.883251,-0.537065,nan,-2.261326,1.775407,0.002000,-0.597316,0.000000
84.000000,0.002000,-1.466424,0.521065,-0.575788,-2.781958,1.005220,0.029160,3.534503,-1.525907,1.406469,0.002000,-0.493320,0.000000
85.000000,0.002000,0.141953,-0.319328,0.691539,0.106904,0.154134,0.431309,-0.636274,1.932429,-3.253145,0.002000,-1.156182,0.000000
86.000000,0.002000,0.694749,-0.725597,-1.383364,-0.053210,-0.222181,-1.292729,-1.856172,1.726168,3.464912,0.002000,-2.069985,0.000000
87.000000,0.002000,-1.582938,0.610379,-1.188859,2.046706,0.671785,-1.464336,2.747788,-0.989874,1.956554,0.002000,-0.637437,0.000000
88.000000,0.002000,-0.506816,-0.596314,-0.052567,-0.516183,0.870610,-0.740035,2.682202,2.497545,0.590758,0.002000,-0.297791,0.000000
89.000000,0.002000,-1.936280,0.188779,0.523891,1.752155,0.739282,1.107525,3.538559,-0.208963,-0.957215,0.002000,1.152332,0.000000
90.000000,0.002000,0.088422,-0.310886,0.097400,-0.949599,-0.297150,-1.779510,-0.185871,1.299650,-1.037738,0.002000,-1.466424,0.000000
91.000000,0.002000,0.399046,-2.772593,1.955912,-0.366415,0.377425,-0.363765,-0.211198,1.354171,-0.965952,0.002000,0.141953,0.000000
92.000000,0.002000,0.390093,-0.652409,-0.390953,1.038229,0.927026,0.990993,-1.617598,2.848313,1.161099,0.002000,0.694749,0.000000
93.000000,0.002000,0.493742,-0.116104,-2.030684,0.461774,-1.785436,1.107272,-1.009143,0.161165,3.220133,0.002000,-1.582938,0.000000
94.000000,0.002000,2.064493,-0.110541,1.020173,-0.455312,-0.189647,0.734572,-2.951494,-0.062229,-1.832241,0.002000,-0.506816,0.000000
95.000000,0.002000,-0.692050,1.536377,0.286344,-0.158472,0.125674,-0.439645,1.960585,-3.677597,-0.613742,0.002000,-1.936280,0.000000
96.000000,0.002000,0.608844,-1.045253,1.211145,1.789928,0.429098,-1.142988,-1.371438,2.558752,-3.141647,0.002000,0.088422,0.000000
97.000000,0.002000,0.689818,1.301846,-0.628088,0.135660,0.270488,-2.902849,-1.954472,-4.119082,1.853653,0.002000,0.399046,0.000000
98.000000,0.002000,-0.481027,2.303917,-1.060016,0.263585,-0.230294,1.441173,0.561489,-2.454791,1.250405,0.002000,0.390093,0.000000
99.000000,0.002000,-0.135950,1.136891,0.097725,0.789971,0.709768,-0.167091,0.466537,-4.308765,-0.299181,0.002000,0.493742,0.000000
100.000000,0.002000,0.582954,-0.399449,0.370056,-1.163367,0.831440,-0.522318,-2.138360,1.867106,-1.277696,0.002000,2.064493,0.000000
101.000000,0.002000,-1.306527,1.658131,-0.118164,-0.602507,-1.042637,-1.097104,nan,-2.792557,0.397758,0.002000,-0.692050,0.000000
102.000000,0.002000,-0.680178,0.666383,-0.460720,0.075115,-0.006096,0.535803,2.719324,-2.189552,2.323633,0.002000,0.608844,0.000000
103.000000,0.002000,-1.334258,-1.346718,0.693773,-0.349626,0.194689,-1.060131,1.999992,2.667294,-1.550700,0.002000,0.689818,0.000000
104.000000,0.002000,-0.159573,-0.133702,1.077744,-0.305557,0.791579,-0.649722,0.572225,0.783402,-4.395305,0.002000,-0.481027,0.000000
105.000000,0.002000,-1.126826,-0.730678,-0.384880,0.156143,0.068014,0.188539,3.748263,2.495798,1.343731,0.002000,-0.135950,0.000000
106.000000,0.002000,0.094352,-0.042171,-0.286887,-0.034119,-0.091393,3.281322,-0.964037,-0.427227,1.756072,0.002000,0.582954,0.000000
107.000000,0.002000,-0.061626,-0.107305,-0.719604,0.746910,-0.770951,-0.665257,0.186523,0.452302,2.952534,0.002000,-1.306527,0.000000
108.000000,0.002000,-0.812993,0.274516,-0.890915,0.661665,0.839893,0.167732,2.660157,-1.213536,3.276165,0.002000,-0.680178,0.000000
109.000000,0.002000,-1.157355,-0.312292,-0.157667,0.226148,0.564298,-0.949028,3.034514,1.398685,0.682566,0.002000,-1.334258,0.000000
110.000000,0.002000,2.256723,-0.704700,0.943261,-0.411991,0.808908,2.348928,-2.448787,0.944948,-1.090985,0.002000,-0.159573,0.000000
111.000000,0.002000,0.747188,-1.188945,0.773253,0.005972,0.127776,0.483195,-1.976529,2.758480,-1.514110,0.002000,-1.126826,0.000000
112.000000,0.002000,-1.183881,-2.659172,0.606320,-0.198607,1.375889,0.955991,0.907940,1.954788,-0.440812,0.002000,0.094352,0.000000
113.000000,0.002000,-1.755891,0.450934,-0.684011,-0.327686,-1.923705,-0.027396,4.401061,-1.198211,0.561057,0.002000,-0.061626,0.000000
114.000000,0.002000,1.659551,1.068509,-0.453386,1.206699,0.503855,2.054761,-2.931425,-1.923951,0.921236,0.002000,-0.812993,0.000000
115.000000,0.002000,-0.687838,-1.214077,-0.440923,-1.001365,-1.240446,-1.617521,1.768248,3.475082,0.980713,0.002000,-1.157355,0.000000
116.000000,0.002000,-0.280355,-0.364694,0.156704,-1.810691,-2.258740,1.491102,1.406655,1.529373,-1.109592,0.002000,2.256723,0.000000
117.000000,0.002000,0.578521,0.349654,-0.764144,0.507707,0.157863,-0.287137,-2.181188,-1.374746,2.903221,0.002000,0.747188,0.000000
118.000000,0.002000,-1.437791,1.364532,-0.689449,0.298217,0.238715,-0.850668,2.399822,-2.340749,1.188600,0.002000,-1.183881,0.000000
119.000000,0.002000,-0.652294,-0.521189,-1.843070,0.712101,0.263068,-0.426673,1.115548,0.961432,3.479013,0.002000,-1.755891,0.000000
