# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.500000
# 
1.000000,0.002000,1.562479,0.469864,0.985749,-1.210334,-0.026426,-0.508561,-3.654406,-0.846770,-2.490506
2.000000,0.002000,2.130785,2.037899,-0.946352,-0.567642,0.019113,0.220790,-1.403554,-1.341160,0.629987
3.000000,0.002000,0.071110,-0.407424,-0.375987,-2.696476,0.213102,0.296011,-2.326525,6.571934,7.438683
4.000000,0.002000,0.202717,-0.494245,-0.026181,-0.989859,-0.289011,-3.929936,-2.948326,12.150617,0.095266
5.000000,0.002000,0.464269,0.297749,0.025132,-2.033269,-0.349178,-1.129204,-7.943536,-4.909883,-0.618503
6.000000,0.002000,-0.025099,0.847871,0.174678,-0.731113,-2.860818,0.710822,-0.041265,-9.013297,-1.489054
7.000000,0.002000,-0.350832,-0.383182,-2.162753,-1.291044,1.119126,1.526694,0.515221,0.663825,3.464254
8.000000,0.002000,0.570979,0.923091,-0.372237,-0.966184,-0.867667,1.388158,-4.766763,-6.268820,2.575986
9.000000,0.002000,2.852312,-1.079902,0.377063,0.685449,0.973871,0.601526,-1.864299,0.725283,-0.259125
10.000000,0.002000,-1.173474,1.731776,1.900574,-1.756912,-0.047855,0.402252,1.001293,-1.495020,-1.577391
11.000000,0.002000,-0.473116,0.269925,0.152062,-0.296001,-0.946359,2.524327,8.060531,-4.418706,-2.495259
12.000000,0.002000,-1.594033,-0.936465,-0.917973,1.582000,-0.760622,-1.905929,3.134090,1.754239,1.721966
13.000000,0.002000,0.341865,0.776045,-0.049579,-2.700239,-2.017948,0.910371,-3.917464,-7.621729,0.297955
14.000000,0.002000,-0.231350,0.201361,-1.553598,0.334247,2.621072,0.904145,0.803261,-0.891801,5.186598
15.000000,0.002000,-1.662189,1.797641,-0.938262,0.510906,-0.752976,-0.659470,1.759890,-1.811942,1.001031
16.000000,0.002000,0.005222,-0.920119,0.207198,1.048381,2.026623,-1.618517,-0.852667,8.625813,-1.518984
17.000000,0.002000,-1.530198,0.100760,-0.620424,1.182992,0.591334,1.022280,4.800554,-0.536188,2.021914
18.000000,0.002000,0.087192,-0.237270,-1.849774,-0.713749,0.710078,-0.286737,0.220413,0.256019,4.585844
19.000000,0.002000,0.728850,0.729861,-0.066617,0.595234,-0.543214,-0.162928,-6.029372,-5.725660,0.778280
20.000000,0.002000,-0.011214,-0.219667,0.004926,-0.833189,1.865341,0.915031,1.235615,6.722919,0.685972
21.000000,0.002000,-1.020604,-0.536496,-0.889434,0.136407,0.093373,0.693877,3.232791,2.031513,3.857159
22.000000,0.002000,-1.328026,-0.028338,-1.240360,1.684713,-0.524484,-1.035350,3.431783,-0.222572,3.354945
